fill_id,epoch,prev_epoch,next_epoch,tier,k,gap_years,dt_left_yr,dt_right_yr,dt_basis,n_cells,area_m2,crown_id,crown_diam_m,size_class,crown_cells,fill_cells_in_crown,fill_share_of_crown,crown_cover_raw,p_t_list,p_t_source,miss_product,epsilon_interval,epsilon_interval_next,gamma_interval_colonisation,gamma_interval_emptysite,lambda_colonisation,lambda_colonisation_emptysite,lambda_rule,log10_lambda_colonisation,log10_lambda_rule,posterior_fill_colonisation,posterior_fill_colonisation_emptysite,posterior_fill_rule
2011s#236_2623,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,6652,11.5,10-14,11,1,0.091,0.909,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#239_2592,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#244_2641,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#249_2636,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,32,128.0,8036,14.53,14+,18,2,0.111,0.833,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#249_2667,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#250_2344,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#255_2486,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,122,488.0,7701,15.2,14+,22,4,0.182,0.818,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#257_2567,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,7816,9.59,8-10,11,7,0.636,0.273,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#259_2422,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,33,132.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#264_2640,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#266_2358,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#270_2607,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#277_2484,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,7733,16.68,14+,25,1,0.04,0.96,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
