point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
25,1,disagree_5_15m,5826,5364,1265026.7472808722,293883.9319853422,-122.3607174,47.7954587,0
26,1,disagree_5_15m,3251,9424,1273146.7472808722,299033.9319853422,-122.3280941,47.8100116,1
27,1,disagree_5_15m,4933,8540,1271378.7472808722,295669.9319853422,-122.3350208,47.8006967,0
28,1,disagree_5_15m,269,5266,1264830.7472808722,304997.9319853422,-122.362413,47.8259106,0
29,1,disagree_5_15m,2004,4688,1263674.7472808722,301527.9319853422,-122.3668366,47.8163366,0
30,1,disagree_5_15m,3147,10588,1275474.7472808722,299241.9319853422,-122.318638,47.8107053,0
31,1,disagree_5_15m,5508,6033,1266364.7472808722,294519.9319853422,-122.3553259,47.7972746,1
32,1,disagree_5_15m,1172,8369,1271036.7472808722,303191.9319853422,-122.3370101,47.8212958,0
33,1,disagree_5_15m,3601,8327,1270952.7472808722,298333.9319853422,-122.3369656,47.8079758,0
34,1,disagree_5_15m,4433,8098,1270494.7472808722,296669.9319853422,-122.3386966,47.8033903,0
35,1,disagree_5_15m,644,6866,1268030.7472808722,304247.9319853422,-122.3493285,47.8240285,0
36,1,disagree_5_15m,4357,3467,1261232.7472808722,296821.9319853422,-122.3763899,47.8033041,0
37,1,disagree_5_15m,4442,5885,1266068.7472808722,296651.9319853422,-122.3567017,47.8031022,0
38,1,disagree_5_15m,2887,3906,1262110.7472808722,299761.9319853422,-122.3730573,47.8114106,0
39,1,disagree_5_15m,1252,6262,1266822.7472808722,303031.9319853422,-122.3541472,47.8206302,0
40,1,disagree_5_15m,6064,7761,1269820.7472808722,293407.9319853422,-122.3411786,47.7944132,0
41,1,disagree_5_15m,3959,6362,1267022.7472808722,297617.9319853422,-122.3528981,47.8058017,0
42,1,disagree_5_15m,4592,4763,1263824.7472808722,296351.9319853422,-122.3658067,47.8021578,0
43,1,disagree_5_15m,5667,8471,1271240.7472808722,294201.9319853422,-122.3354656,47.7966656,1
44,1,disagree_5_15m,2159,5299,1264896.7472808722,301217.9319853422,-122.3618388,47.8155536,1
45,1,disagree_5_15m,2882,6065,1266428.7472808722,299771.9319853422,-122.3554882,47.8116734,0
46,1,disagree_5_15m,3720,6000,1266298.7472808722,298095.9319853422,-122.3558822,47.8070726,0
47,1,disagree_5_15m,3856,6292,1266882.7472808722,297823.9319853422,-122.3534843,47.8063587,0
48,1,disagree_5_15m,3246,10888,1276074.7472808722,299043.9319853422,-122.3161811,47.8101943,0
49,1,disagree_5_15m,3058,8704,1271706.7472808722,299419.9319853422,-122.3339839,47.8109928,0
50,1,disagree_5_15m,5125,4940,1264178.7472808722,295285.9319853422,-122.3642803,47.7992553,0
51,1,disagree_5_15m,6925,9046,1272390.7472808722,291685.9319853422,-122.3305884,47.7898309,0
52,1,disagree_5_15m,705,7391,1269080.7472808722,304125.9319853422,-122.3450452,47.8237507,0
53,1,disagree_5_15m,1845,7227,1268752.7472808722,301845.9319853422,-122.3461977,47.8174837,0
54,1,disagree_5_15m,3603,8126,1270550.7472808722,298329.9319853422,-122.3386009,47.8079433,0
55,1,disagree_5_15m,4636,7180,1268658.7472808722,296263.9319853422,-122.3461337,47.8021788,0
