point_id,label,crown_idx,crown_id,offcrown,off_grid,terminal_absent_epochs,terminal_laundered,terminal_laundered_posterior,terminal_censored,laundered_crown_obs1,laundered_crown_obs0,laundered_crown_missing,raw_trajectory,viterbi_trajectory,posterior_trajectory,crown_obs,n_epochs_touched,impossible_triples_raw,impossible_triples_healed,impossible_triples_posterior,healed_to_canopy,healed_to_ignore
1105,nochange,0,,1,0,0,0,0,0,0,0,0,C...........,,,,0,0,0,0,0,0
1106,nochange,206610,EDM_0206609,0,0,0,0,0,0,0,0,0,.CCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,1,0,0,0,1,0
1107,nochange,0,,1,0,0,0,0,0,0,0,0,....C...C.C.,,,,0,1,0,0,0,0
1108,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1109,nochange,0,,1,0,0,0,0,0,0,0,0,C...........,,,,0,0,0,0,0,0
111,loss,203210,EDM_0203209,0,0,2,2,2,0,0,2,0,CCCCCCCCCC..,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCC..,2,0,0,0,2,0
1110,nochange,0,,1,0,0,0,0,0,0,0,0,......C.....,,,,0,0,0,0,0,0
1111,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1112,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1113,loss,0,,1,0,0,0,0,0,0,0,0,CCCCC...CCC.,,,,0,0,0,0,0,0
1114,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1116,nochange,128183,EDM_0128182,0,0,0,0,0,0,0,0,0,.CC.C.CCC..C,CCCCCCCCCCCC,CCCCCCCCCCCC,.CC.CCCCCCCC,5,2,0,0,5,0
1117,nochange,153220,EDM_0153219,0,0,3,3,3,0,3,0,0,..C..CCCC...,CCCCCCCCCCCC,CCCCCCCCCCCC,..C..CCCCCCC,7,0,0,0,7,0
1118,nochange,0,,1,0,0,0,0,0,0,0,0,C...C.C.CC.C,,,,0,3,0,0,0,0
1119,nochange,0,,1,0,0,0,0,0,0,0,0,.C..C......C,,,,0,0,0,0,0,0
112,nochange,0,,1,0,0,0,0,0,0,0,0,C...........,,,,0,0,0,0,0,0
1120,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1121,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1122,nochange,219657,EDM_0219656,0,0,0,0,0,0,0,0,0,.....C..CCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,.....CC.CCCC,7,0,0,0,7,0
1123,loss,0,,1,0,0,0,0,0,0,0,0,....C.......,,,,0,0,0,0,0,0
1124,nochange,0,,1,0,0,0,0,0,0,0,0,...........C,,,,0,0,0,0,0,0
1125,nochange,0,,1,0,0,0,0,0,0,0,0,C.CC..CCCCC.,,,,0,1,0,0,0,0
1126,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1127,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1128,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1129,nochange,0,,1,0,0,0,0,0,0,0,0,.....C.C...C,,,,0,1,0,0,0,0
113,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1130,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1131,nochange,0,,1,0,0,0,0,0,0,0,0,C.......C...,,,,0,0,0,0,0,0
1132,nochange,0,,1,0,0,0,0,0,0,0,0,.......x....,,,,0,0,0,0,0,0
1133,nochange,0,,1,0,0,0,0,0,0,0,0,........CC..,,,,0,0,0,0,0,0
1134,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1135,nochange,0,,1,0,0,0,0,0,0,0,0,C.C.........,,,,0,1,0,0,0,0
