point_id,label,ts
31,nochange,2026-09-05T00:32:33Z
173,nochange,2026-09-05T00:32:34Z
275,nochange,2026-09-05T00:32:36Z
1124,nochange,2026-09-05T00:32:38Z
250,loss,2026-09-05T00:32:40Z
268,nochange,2026-09-05T00:32:41Z
240,nochange,2026-09-05T00:32:42Z
95,undo,2026-09-05T00:32:43Z
240,nochange,2026-09-05T00:32:45Z
95,nochange,2026-09-05T00:32:46Z
58,nochange,2026-09-05T00:32:47Z
193,nochange,2026-09-05T00:32:49Z
831,nochange,2026-09-05T00:35:03Z
529,nochange,2026-09-05T00:35:03Z
1307,nochange,2026-09-05T00:35:04Z
1039,nochange,2026-09-05T00:35:05Z
1009,nochange,2026-09-05T00:35:06Z
827,nochange,2026-09-05T00:35:07Z
841,nochange,2026-09-05T00:35:08Z
598,nochange,2026-09-05T00:35:08Z
195,nochange,2026-09-05T00:35:09Z
566,nochange,2026-09-05T00:35:10Z
70,nochange,2026-09-05T00:35:10Z
340,nochange,2026-09-05T00:35:11Z
427,nochange,2026-09-05T00:35:12Z
758,nochange,2026-09-05T00:35:13Z
1008,nochange,2026-09-05T00:35:13Z
434,nochange,2026-09-05T00:35:14Z
40,nochange,2026-09-05T00:35:15Z
641,nochange,2026-09-05T00:35:16Z
914,nochange,2026-09-05T00:35:16Z
474,nochange,2026-09-05T00:35:17Z
160,nochange,2026-09-05T00:35:18Z
706,nochange,2026-09-05T00:35:19Z
1080,nochange,2026-09-05T00:35:20Z
492,nochange,2026-09-05T00:35:20Z
1061,undo,2026-09-05T00:35:22Z
492,nochange,2026-09-05T00:35:23Z
1061,nochange,2026-09-05T00:35:23Z
766,nochange,2026-09-05T00:35:24Z
108,nochange,2026-09-05T00:35:25Z
567,nochange,2026-09-05T00:35:25Z
844,nochange,2026-09-05T00:35:26Z
722,nochange,2026-09-05T00:35:29Z
1276,nochange,2026-09-05T00:35:29Z
367,nochange,2026-09-05T00:35:30Z
378,nochange,2026-09-05T00:35:31Z
1050,nochange,2026-09-05T00:35:32Z
159,nochange,2026-09-05T00:35:32Z
908,nochange,2026-09-05T00:35:33Z
731,nochange,2026-09-05T00:35:34Z
1207,nochange,2026-09-05T00:35:35Z
