tileset_id,label,run_tag,tile_dir,n_tiles,n_train,n_val,n_test,n_drop,split_mode,blocks,block_px,split_degraded,citywide,stride,max_tiles,tile_size,random_seed,use_hillshade,hs_source,use_vi,aux_height,coarse_val_frac,coarse_test_frac,spatial_block_size_m,canopy_autocorr_m,hard_neg_fraction,background_budget_fraction,green_grvi_threshold,citywide_tiles,ortho_name,ortho_size,label_source,label_source_size,add_canopy_mask,sample_manifest,sig_keys,id_basis,tile_list,note
4d5489e1767a,2009,nodec_s1234,2009__nodec_s1234,584,226,200,158,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965749,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_nodec_2009.tif"",""size"":21642226}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/4d5489e1767a.csv,
4d5489e1767a,2009,nodec_s2024,2009__nodec_s2024,584,226,200,158,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965749,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_nodec_2009.tif"",""size"":21642226}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/4d5489e1767a.csv,
4d5489e1767a,2009,nodec_v1,2009__nodec_v1,584,226,200,158,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965749,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_nodec_2009.tif"",""size"":21642226}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/4d5489e1767a.csv,
85f6eea8791e,2009,rgb3_ep60,2009__rgb3_ep60,624,274,164,186,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/85f6eea8791e.csv,
85f6eea8791e,2009,rgb3_ep60_s1234,2009__rgb3_ep60_s1234,624,274,164,186,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/85f6eea8791e.csv,
85f6eea8791e,2009,rgb3_nodeb,2009__rgb3_nodeb,624,274,164,186,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/85f6eea8791e.csv,
85f6eea8791e,2009,rgb3_nodeb_s1234,2009__rgb3_nodeb_s1234,624,274,164,186,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/85f6eea8791e.csv,
85f6eea8791e,2009,rgb3_nodeb_twin,2009__rgb3_nodeb_twin,624,274,164,186,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/85f6eea8791e.csv,
4f3fedcc8d50,2009,seed1234,2009__seed1234,624,274,164,186,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/4f3fedcc8d50.csv,
4f3fedcc8d50,2009,seed777,2009__seed777,624,274,164,186,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/4f3fedcc8d50.csv,
