unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
C2020_01573_01816,86,1,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,548721.0,5297771.0,26910,1573,1816,14,56.0,8.44,next,0,,,0,,
C2019_04122_02461,87,1,32,REVIEW|1-2|5-6,REVIEW,2,1,2,1-2,5-6,3,2017,2019,2020,550011.0,5292673.0,26910,4122,2461,7,28.0,5.97,prev,0,,,0,,
F2023_02545_01796,88,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,548681.0,5295827.0,26910,2545,1796,10,40.0,7.14,,0,,,0,,
F2020_02020_02073,89,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,549235.0,5296877.0,26910,2020,2073,15,60.0,8.74,,0,,,0,,
C2016_02602_01596,90,1,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2015,2016,2017,548281.0,5295713.0,26910,2602,1596,93,372.0,21.76,prev,1,lidar_chm2_2016_50cm,0,1,,
F2017_02648_01158,91,0,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,547405.0,5295621.0,26910,2648,1158,8,32.0,6.38,,1,lidar_chm2_2016_50cm,1,0,,
F2017_02920_01586,92,0,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,548261.0,5295077.0,26910,2920,1586,12,48.0,7.82,,1,lidar_chm2_2016_50cm,1,1,,
C2023_04192_00982,93,1,36,REVIEW|1-2|14+,REVIEW,1,1,1,1-2,14+,2,2022,2023,2024,547053.0,5292533.0,26910,4192,982,62,248.0,17.77,prev,0,,,0,,
F2020_01461_01937,94,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,548963.0,5297995.0,26910,1461,1937,33,132.0,12.96,,0,,,0,,
C2022_01763_02157,95,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2021,2022,2023,549403.0,5297391.0,26910,1763,2157,8,32.0,6.38,prev,0,,,0,,
F2015_00848_02761,96,0,7,HEAL|1-2|8-10,HEAL,2,1,2,1-2,8-10,3,2013,2015,2016,550611.0,5299221.0,26910,848,2761,14,56.0,8.44,,1,lidar_chm2_2016_50cm,-1,1,,
F2023_01210_02374,97,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2022,2023,2024,549837.0,5298497.0,26910,1210,2374,7,28.0,5.97,,0,,,0,,
C2021_03364_01494,98,1,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2020,2021,2022,548077.0,5294189.0,26910,3364,1494,16,64.0,9.03,prev,0,,,0,,
C2013_03815_00965,99,1,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,547019.0,5293287.0,26910,3815,965,8,32.0,6.38,next,0,,,0,,
C2016_01926_01444,100,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2015,2016,2017,547977.0,5297065.0,26910,1926,1444,9,36.0,6.77,prev,1,lidar_chm2_2016_50cm,0,0,,
C2020_02833_00500,101,1,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,546089.0,5295251.0,26910,2833,500,16,64.0,9.03,prev,0,,,0,,
F2022_04456_01096,102,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2021,2022,2023,547281.0,5292005.0,26910,4456,1096,9,36.0,6.77,,0,,,0,,
C2020_03315_01683,103,1,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2019,2020,2021,548455.0,5294287.0,26910,3315,1683,7,28.0,5.97,next,0,,,0,,
C2015_03625_00962,104,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,547013.0,5293667.0,26910,3625,962,10,40.0,7.14,next,1,lidar_chm2_2016_50cm,-1,1,,
C2013_03029_02404,105,1,7,HEAL|1-2|8-10,HEAL,2,2,2,1-2,8-10,4,2011s,2013,2015,549897.0,5294859.0,26910,3029,2404,14,56.0,8.44,prev,0,,,0,,
