crown_id,diameter_m,raw_states,healed_states,valid_from,valid_to,class,confidence,epochs_healed
75461,16.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75462,9.63,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75463,7.17,PPAPPAPP,PPPPP?PP,2009,2024,PERSISTENT,BLIND,"2013,2019"
75464,8.42,APPPPPPP,APPPPPPP,2011s,2024,GAINED,RAW,
75465,9.34,APP?PPPP,APP?PPPP,2011s,2024,GAINED,RAW,
75467,14.98,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75468,9.6,APPPPPPP,APPPPPPP,2011s,2024,GAINED,RAW,
75469,7.06,AAPAAPPP,AAPAAPPP,2013,2024,GAINED,RAW,
75470,9.38,?PAPPAPP,?PPPPAPP,2011s,2024,FLICKERING,HEALED,2013
75471,11.08,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75472,2.6,AAAAAAAP,AAAAAAAP,2024,2024,GAINED,RAW,
75473,8.54,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75474,7.1,PAPPAPPP,PAPPAPPP,2009,2024,FLICKERING,RAW,
75475,12.99,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75476,9.78,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75477,13.0,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75478,9.24,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75479,6.15,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75480,4.8,APAAPAAA,APAAPAAA,2011s,2016,LOST,RAW,
75481,3.82,AAAAAAPA,AAAAAAPA,2021,2021,LOST,TERMINAL,
75482,13.02,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75483,4.8,PPP?PAPP,PPP?P?PP,2009,2024,PERSISTENT,BLIND,2019
75486,4.58,AAAAAPAP,AAAAAPAP,2019,2024,GAINED,RAW,
75487,7.97,APPAPPPP,APPPPPPP,2011s,2024,GAINED,HEALED,2015
75488,9.89,PPP?PPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75489,7.21,PPA?PAAP,PPA?PAAP,2009,2024,FLICKERING,RAW,
75490,8.25,A?PAPPPP,A?PPPPPP,2013,2024,PERSISTENT,HEALED,2015
75491,10.83,PPPAPP??,PPPPPP??,2009,2019,PERSISTENT,HEALED,2015
75492,9.29,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75493,7.32,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75494,12.4,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75495,12.98,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75497,10.25,?PP?PPPP,?PP?PPPP,2011s,2024,PERSISTENT,RAW,
75498,5.29,PAAAPAAA,PAAAPAAA,2009,2016,LOST,RAW,
75499,12.86,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75500,8.56,PPPPPAPP,PPPPP?PP,2009,2024,PERSISTENT,BLIND,2019
75501,18.23,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75502,10.2,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75503,7.9,APPAPPPA,APPAPPPA,2011s,2021,LOST,TERMINAL,
75504,6.51,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75505,12.58,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75506,7.7,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75507,8.09,A???PPPP,A???PPPP,2016,2024,PERSISTENT,RAW,
75508,5.75,PPAPPAPA,PPAPPAPA,2009,2021,LOST,TERMINAL,
75509,12.72,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75510,13.46,PPP?PPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75511,4.3,PAAAAAAP,PAAAAAAP,2009,2024,FLICKERING,RAW,
75512,8.42,PAAAPPPA,PAAAPPPA,2009,2021,LOST,TERMINAL,
75513,9.97,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75514,3.76,AAAAAAAP,AAAAAAAP,2024,2024,GAINED,RAW,
75515,14.73,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75516,8.02,P?PAPPP?,P?PPPPP?,2009,2021,PERSISTENT,HEALED,2015
75517,11.33,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75518,11.96,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75519,12.06,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75520,10.51,PPP?PPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75521,5.5,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75522,11.44,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75523,12.32,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
