curve_id,year,run_tag,ref,prob,canopy_def,eval_scope,policy,k,thresh,recall,precision,f1,tp,fn,fp,population,pr_auc,n_cuts,n_eligible_cuts,source,curve_file
cb367abc8825,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,matched_p75,108,0.425197,0.6899,0.7505,0.719,8215903,3692366,2730839,14639108,0.7957,254,116,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2016_hires_lc.csv,phase4/qc/curves/cb367abc8825.csv
f3f65fa1c8fd,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,sample-test,matched_p75,122,0.480314,0.5809,0.7538,0.6561,348402,251397,113764,713563,0.7676,254,84,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/f3f65fa1c8fd.csv
76260a965f19,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,matched_p90,137,0.53937,0.2492,0.9038,0.3907,2773253,8355410,295246,11423909,0.7567,254,87,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc.csv,phase4/qc/curves/76260a965f19.csv
cb367abc8825,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,matched_p90,131,0.515748,0.3339,0.9024,0.4875,3976389,7931880,430155,12338424,0.7957,254,93,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2016_hires_lc.csv,phase4/qc/curves/cb367abc8825.csv
f3f65fa1c8fd,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,sample-test,matched_p90,135,0.531496,0.2279,0.9056,0.3642,136696,463103,14250,614049,0.7676,254,71,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/f3f65fa1c8fd.csv
08b2d105eda7,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_only,,scored_live,,0.338582,0.718,0.6745,0.6956,7887425,3098147,3805825,14791397,,,,qc_indep_report.csv,
08b2d105eda7,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_only,,scored_live,,0.334645,0.6704,0.6948,0.6824,395132,194258,173607,762997,,,,qc_indep_report.csv,
0f5f0967fada,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland_scrub,,scored_live,,0.4743,0.6157,0.786,0.6905,7935917,4953942,2160306,15050165,,,,qc_indep_report.csv,
4069d84a1a64,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_only,,scored_live,,0.4743,0.6506,0.7599,0.701,7671819,4120039,2424404,14216262,,,,qc_indep_report.csv,
76260a965f19,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,scored_live,,0.338582,0.7195,0.6848,0.7017,8007140,3121523,3686110,14814773,,,,qc_indep_report.csv,
76260a965f19,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,scored_live,,0.334645,0.6743,0.7112,0.6923,404461,195338,164278,764077,,,,qc_indep_report.csv,
