point_id,stratum,stratum_name,x,y,kind,overlap_stratum,dup_of
104,1,cand_change,547133.0,5293007.0,live,1,
812,2,srs_floor,547499.0,5294057.0,live,4,
1283,3,stable_canopy,548859.0,5298425.0,blur,3,863
33,1,cand_change,547129.0,5292109.0,live,1,
787,2,srs_floor,547539.0,5292733.0,live,4,
822,3,stable_canopy,548873.0,5296593.0,live,3,
471,1,cand_change,548079.0,5292207.0,live,1,
222,1,cand_change,549849.0,5300661.0,live,1,
349,1,cand_change,548397.0,5297081.0,live,1,
801,2,srs_floor,548877.0,5298585.0,live,1,
136,1,cand_change,547517.0,5291947.0,live,1,
898,3,stable_canopy,548081.0,5292677.0,live,3,
313,1,cand_change,549811.0,5293261.0,live,1,
120,1,cand_change,548295.0,5297253.0,live,1,
649,1,cand_change,549831.0,5298653.0,live,1,
121,1,cand_change,545999.0,5295053.0,live,1,
211,1,cand_change,546977.0,5295863.0,live,1,
672,1,cand_change,549135.0,5292581.0,live,1,
465,1,cand_change,549279.0,5298767.0,live,1,
103,1,cand_change,548099.0,5297723.0,live,1,
198,1,cand_change,549485.0,5292239.0,live,1,
607,1,cand_change,546273.0,5294365.0,live,1,
890,3,stable_canopy,550347.0,5298227.0,live,3,
352,1,cand_change,547625.0,5295405.0,live,1,
473,1,cand_change,548805.0,5298545.0,live,1,
892,3,stable_canopy,546069.0,5294655.0,live,3,
442,1,cand_change,550043.0,5297985.0,live,1,
127,1,cand_change,546645.0,5295585.0,live,1,
928,3,stable_canopy,546115.0,5294823.0,live,3,
1067,4,stable_other,549223.0,5294505.0,live,4,
553,1,cand_change,547117.0,5293405.0,live,1,
354,1,cand_change,549951.0,5299413.0,live,1,
874,3,stable_canopy,548197.0,5296461.0,live,3,
74,1,cand_change,547909.0,5293071.0,live,1,
460,1,cand_change,549095.0,5292555.0,live,1,
718,2,srs_floor,547045.0,5295337.0,live,4,
514,1,cand_change,549091.0,5295957.0,live,1,
508,1,cand_change,549181.0,5292163.0,live,1,
362,1,cand_change,548315.0,5294331.0,live,1,
53,1,cand_change,549567.0,5296135.0,live,1,
1066,4,stable_other,549435.0,5299651.0,live,4,
670,1,cand_change,549973.0,5294981.0,live,1,
188,1,cand_change,548621.0,5297739.0,live,1,
498,1,cand_change,548555.0,5297785.0,live,1,
99,1,cand_change,548865.0,5294787.0,live,1,
60,1,cand_change,548179.0,5295271.0,live,1,
293,1,cand_change,548945.0,5295687.0,live,1,
528,1,cand_change,550287.0,5300869.0,live,1,
1222,4,stable_other,550301.0,5291913.0,live,4,
738,2,srs_floor,548661.0,5297179.0,live,4,
1271,1,cand_change,546363.0,5295533.0,dup,1,59
297,1,cand_change,547799.0,5295331.0,live,1,
1013,4,stable_other,548665.0,5297603.0,live,4,
1284,3,stable_canopy,546749.0,5294557.0,blur,3,935
472,1,cand_change,547359.0,5296179.0,live,1,
454,1,cand_change,550009.0,5300459.0,live,1,
482,1,cand_change,549357.0,5292835.0,live,1,
1292,4,stable_other,548949.0,5296079.0,blur,4,1225
1172,4,stable_other,546871.0,5292747.0,live,4,
1286,4,stable_other,547893.0,5297863.0,blur,4,1068
662,1,cand_change,548869.0,5297551.0,live,1,
32,1,cand_change,546525.0,5295153.0,live,1,
882,3,stable_canopy,548175.0,5296711.0,live,3,
1073,4,stable_other,547953.0,5295897.0,live,4,
572,1,cand_change,550161.0,5294095.0,live,1,
282,1,cand_change,546457.0,5295025.0,live,1,
848,3,stable_canopy,546349.0,5294359.0,live,3,
462,1,cand_change,546115.0,5295787.0,live,1,
862,3,stable_canopy,549607.0,5298347.0,live,3,
1160,4,stable_other,546057.0,5295323.0,live,4,
277,1,cand_change,549793.0,5299213.0,live,1,
1150,4,stable_other,546389.0,5296093.0,live,4,
140,1,cand_change,549787.0,5295209.0,live,1,
945,3,stable_canopy,549669.0,5296791.0,live,3,
793,2,srs_floor,548703.0,5297901.0,live,1,
243,1,cand_change,548761.0,5297891.0,live,1,
164,1,cand_change,545611.0,5295369.0,live,1,
1091,4,stable_other,549661.0,5298913.0,live,4,
285,1,cand_change,548943.0,5294949.0,live,1,
1081,4,stable_other,548363.0,5296769.0,live,4,
1305,3,stable_canopy,548369.0,5296531.0,blur,3,831
642,1,cand_change,546637.0,5291927.0,live,1,
1293,4,stable_other,549565.0,5299523.0,blur,4,1245
235,1,cand_change,547479.0,5295529.0,live,1,
513,1,cand_change,546315.0,5295619.0,live,1,
224,1,cand_change,549531.0,5295399.0,live,1,
541,1,cand_change,548057.0,5295133.0,live,1,
1021,4,stable_other,547333.0,5292219.0,live,4,
1231,4,stable_other,549715.0,5292331.0,live,4,
692,1,cand_change,549697.0,5299699.0,live,1,
739,2,srs_floor,548265.0,5292067.0,live,4,
1182,4,stable_other,546731.0,5293653.0,live,4,
750,2,srs_floor,549535.0,5296181.0,live,4,
808,2,srs_floor,548483.0,5294535.0,live,4,
134,1,cand_change,549457.0,5296833.0,live,1,
51,1,cand_change,550265.0,5294859.0,live,1,
986,3,stable_canopy,546253.0,5294411.0,live,3,
686,1,cand_change,548597.0,5291853.0,live,1,
1302,4,stable_other,546657.0,5295647.0,blur,4,1156
132,1,cand_change,549369.0,5299263.0,live,1,
1076,4,stable_other,546887.0,5294087.0,live,4,
741,2,srs_floor,549949.0,5292649.0,live,4,
86,1,cand_change,547819.0,5297399.0,live,1,
334,1,cand_change,547939.0,5293237.0,live,1,
694,1,cand_change,550217.0,5300281.0,live,1,
988,3,stable_canopy,549995.0,5300209.0,live,3,
149,1,cand_change,548225.0,5292197.0,live,1,
1228,4,stable_other,548087.0,5295789.0,live,4,
1306,3,stable_canopy,548677.0,5292439.0,blur,3,944
214,1,cand_change,549891.0,5299389.0,live,1,
1295,4,stable_other,547569.0,5297213.0,blur,4,1218
659,1,cand_change,548809.0,5295321.0,live,1,
714,2,srs_floor,546269.0,5296419.0,live,4,
691,1,cand_change,545939.0,5295175.0,live,1,
351,1,cand_change,549631.0,5295663.0,live,1,
782,2,srs_floor,549707.0,5292235.0,live,4,
180,1,cand_change,548807.0,5295717.0,live,1,
896,3,stable_canopy,547903.0,5294759.0,live,3,
742,2,srs_floor,549679.0,5293243.0,live,4,
510,1,cand_change,548577.0,5298615.0,live,1,
612,1,cand_change,550059.0,5300773.0,live,1,
215,1,cand_change,546331.0,5295401.0,live,1,
192,1,cand_change,547853.0,5295261.0,live,1,
534,1,cand_change,548143.0,5295363.0,live,1,
56,1,cand_change,548101.0,5293481.0,live,1,
446,1,cand_change,548135.0,5293173.0,live,1,
589,1,cand_change,549373.0,5292445.0,live,1,
813,2,srs_floor,547559.0,5295111.0,live,4,
1114,4,stable_other,549405.0,5298749.0,live,4,
5,1,cand_change,548221.0,5294741.0,live,1,
161,1,cand_change,549665.0,5299519.0,live,1,
773,2,srs_floor,547767.0,5292089.0,live,1,
457,1,cand_change,547719.0,5296081.0,live,1,
558,1,cand_change,549949.0,5294389.0,live,1,
1252,1,cand_change,549039.0,5292775.0,dup,1,93
748,2,srs_floor,548671.0,5296801.0,live,4,
156,1,cand_change,548223.0,5295807.0,live,1,
278,1,cand_change,549117.0,5295881.0,live,1,
1253,1,cand_change,547019.0,5293785.0,dup,1,159
497,1,cand_change,549391.0,5297915.0,live,1,
500,1,cand_change,547995.0,5294999.0,live,1,
1191,4,stable_other,547913.0,5295273.0,live,4,
259,1,cand_change,547673.0,5297321.0,live,1,
292,1,cand_change,550033.0,5294555.0,live,1,
704,2,srs_floor,547611.0,5295915.0,live,4,
1175,4,stable_other,548943.0,5298917.0,live,4,
1304,4,stable_other,546171.0,5295807.0,blur,4,1190
146,1,cand_change,546803.0,5293129.0,live,1,
329,1,cand_change,546849.0,5293709.0,live,1,
1031,4,stable_other,549235.0,5296451.0,live,4,
1197,4,stable_other,546093.0,5295157.0,live,4,
1034,4,stable_other,550239.0,5298737.0,live,4,
357,1,cand_change,548183.0,5298309.0,live,1,
905,3,stable_canopy,548573.0,5296349.0,live,3,
1235,4,stable_other,548069.0,5296191.0,live,4,
165,1,cand_change,547615.0,5297487.0,live,1,
1214,4,stable_other,547167.0,5295917.0,live,4,
395,1,cand_change,548003.0,5294305.0,live,1,
1179,4,stable_other,547441.0,5293549.0,live,4,
344,1,cand_change,548075.0,5293793.0,live,1,
1220,4,stable_other,545673.0,5295219.0,live,4,
627,1,cand_change,549517.0,5297297.0,live,1,
9,1,cand_change,548451.0,5294391.0,live,1,
571,1,cand_change,550433.0,5300493.0,live,1,
532,1,cand_change,549469.0,5299021.0,live,1,
726,2,srs_floor,550009.0,5294833.0,live,4,
1126,4,stable_other,548439.0,5292679.0,live,4,
621,1,cand_change,546921.0,5291849.0,live,1,
331,1,cand_change,549001.0,5295189.0,live,1,
1043,4,stable_other,546487.0,5296421.0,live,4,
723,2,srs_floor,548101.0,5295339.0,live,1,
826,3,stable_canopy,547671.0,5292903.0,live,3,
261,1,cand_change,548973.0,5297189.0,live,1,
299,1,cand_change,546199.0,5295285.0,live,1,
955,3,stable_canopy,546965.0,5292883.0,live,3,
1109,4,stable_other,547303.0,5293699.0,live,4,
201,1,cand_change,548731.0,5295053.0,live,1,
1107,4,stable_other,548341.0,5296997.0,live,4,
549,1,cand_change,549965.0,5300841.0,live,1,
1285,4,stable_other,548497.0,5298675.0,blur,4,1142
359,1,cand_change,548111.0,5295089.0,live,1,
1226,4,stable_other,547357.0,5293781.0,live,4,
469,1,cand_change,549545.0,5296035.0,live,1,
1251,3,stable_canopy,548093.0,5294583.0,dup,3,904
609,1,cand_change,549851.0,5292493.0,live,1,
994,3,stable_canopy,549571.0,5298187.0,live,3,
1054,4,stable_other,549803.0,5292787.0,live,4,
1261,4,stable_other,545479.0,5295145.0,dup,4,1212
1282,4,stable_other,549397.0,5292307.0,blur,4,1115
909,3,stable_canopy,550375.0,5300021.0,live,3,
246,1,cand_change,549729.0,5299599.0,live,1,
229,1,cand_change,548501.0,5292265.0,live,1,
468,1,cand_change,548917.0,5295891.0,live,1,
1156,4,stable_other,546657.0,5295647.0,live,4,
811,2,srs_floor,545715.0,5295245.0,live,4,
345,1,cand_change,546481.0,5294373.0,live,1,
561,1,cand_change,548217.0,5293301.0,live,1,
820,2,srs_floor,547663.0,5292383.0,live,4,
347,1,cand_change,547525.0,5291805.0,live,1,
225,1,cand_change,549935.0,5300209.0,live,1,
72,1,cand_change,550077.0,5299477.0,live,1,
1299,4,stable_other,547471.0,5293781.0,blur,4,1193
614,1,cand_change,549407.0,5295315.0,live,1,
1058,4,stable_other,548365.0,5294959.0,live,4,
451,1,cand_change,550449.0,5299025.0,live,1,
657,1,cand_change,547669.0,5291819.0,live,1,
