year,tag,is_champion,recipe_class,recall,precision,f_half,thresh,calendar_year,ref_epoch_gap_yr,effective_cm,bands,tier,crs_family,date_shot,month,leafoff_risk,mmu_epoch2_m2,generated_utc
2017,citywide_rgb,0,citywide,0.7058,0.9007,0.8536,0.4986,2017,4,13.2,3,fine,web_mercator,"2017-05-04 to 2017-05-10 (5 days over the city: May 4 n=16, May 6 90, May 8 48, May 9 192, May 10 364)",5,0,,2026-09-01T17:19:41Z
2017,xsensor_train,0,other,0.7784,0.8083,0.8021,0.4759,2017,4,13.2,3,fine,web_mercator,"2017-05-04 to 2017-05-10 (5 days over the city: May 4 n=16, May 6 90, May 8 48, May 9 192, May 10 364)",5,0,,2026-09-01T17:19:41Z
2018s,fullext_sectors_v1,0,sector_v1,0.6459,0.7849,0.7525,0.5,2018,3,20.9 (median of 5 sites; 1.37x its grid),4,medium,state_plane_ft,2018-08-07 (WA consortium 6-in flight area over Edmonds),8,0,,2026-09-01T17:19:41Z
2018s,sectors_v1,1,sector_v1,0.4611,0.8024,0.6989,0.5,2018,3,20.9 (median of 5 sites; 1.37x its grid),4,medium,state_plane_ft,2018-08-07 (WA consortium 6-in flight area over Edmonds),8,0,,2026-09-01T17:19:41Z
2019,citywide_rgb,1,citywide,0.6346,0.8242,0.7777,0.332,2019,2,12.6-13.7,3,fine,web_mercator,"2019-04-25 to 2019-05-08 (7 days over the city: Apr 25 n=92, Apr 30 387, May 1 20, May 4 160, May 6 185, May 7 332, May 8 58)",4,1,,2026-09-01T17:19:41Z
2019,pilot_e2_fine,0,pilot_e2,0.6492,0.8365,0.7909,0.332,2019,2,12.6-13.7,3,fine,web_mercator,"2019-04-25 to 2019-05-08 (7 days over the city: Apr 25 n=92, Apr 30 387, May 1 20, May 4 160, May 6 185, May 7 332, May 8 58)",4,1,,2026-09-01T17:19:41Z
2019n,nir_m06,0,citywide,0.4709,0.8189,0.7135,0.5008,2019,2,95.1,4,coarse,utm_m,2019-10-11,10,0,,2026-09-01T17:19:41Z
2019n,p2nir,1,citywide,0.6499,0.854,0.8035,0.495,2019,2,95.1,4,coarse,utm_m,2019-10-11,10,0,,2026-09-01T17:19:41Z
2019n,pilot_e2_coarse,0,pilot_e2,0.6915,0.7858,0.7649,0.4951,2019,2,95.1,4,coarse,utm_m,2019-10-11,10,0,,2026-09-01T17:19:41Z
2019s,pilot_e2_medium,0,pilot_e2,0.6331,0.7735,0.7406,0.4816,2019,2,42.58 (median of 5 sites; 1.4x its grid),4,medium,state_plane_ft,2019-10-11 (WA consortium 1-ft flight area over Edmonds; same Hexagon flight as NAIP 2019),10,0,,2026-09-01T17:19:41Z
2020s,sectors_v1,1,sector_v1,0.5483,0.8172,0.7442,0.5,2020,1,9.77 (median of 5 sites; 1.28x its grid),3,fine,state_plane_ft,inherited from the 2020_coe_rgb.tif row,,,,2026-09-01T17:19:41Z
2021,citywide_rgb,1,citywide,0.6059,0.8778,0.8055,0.4013,2021,0,12.6-13.7,3,fine,web_mercator,"2021-04-14 to 2021-04-17 (4 days over the city: Apr 14 n=135, Apr 15 248, Apr 16 259, Apr 17 20)",4,1,,2026-09-01T17:19:41Z
2021s,fullext_sectors_v1,0,sector_v1,0.6568,0.8276,0.7867,0.4998,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_ens5,0,other,0.6439,0.8332,0.7869,0.477,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_r1,0,other,0.6402,0.8325,0.7853,0.44,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_r2,0,other,0.6545,0.8265,0.7852,0.4993,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_r3,0,other,0.6685,0.8181,0.7831,0.499,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_r4,0,other,0.6563,0.8281,0.7869,0.49,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,noise_r5,0,other,0.655,0.826,0.785,0.457,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2021s,p2nir,1,citywide,0.6851,0.8547,0.8144,0.499,2021,0,"20.06 (median of 5 sites; 1.32x its grid); common grid vs held: 20.05 vs 21.09 cm, HF ratio 1.432",4,coarse,state_plane_ft,2021-06-25 to 2021-11-11,6,0,,2026-09-01T17:19:41Z
2022,citywide_rgb,1,citywide,0.6818,0.8012,0.7741,0.4988,2022,1,6.5,3,fine,web_mercator,2022-04-06 to 2022-07-11 (urban 3 in); the rural 9-in sub-project ran 2022-05-31 to 08-11 and does not apply to Edmonds,4,1,,2026-09-01T17:19:41Z
2023,citywide_rgb,1,citywide,0.651,0.8506,0.8015,0.5103,2023,2,12.6-13.7,3,fine,web_mercator,"2023-04-19 to 2023-05-07 (7 days over the city: Apr 19 n=57, Apr 20 84, Apr 25 64, Apr 26 381, Apr 27 169, May 3 336, May 7 34)",4,1,,2026-09-01T17:19:41Z
2023n,,1,legacy,0.6564,0.863,0.8119,0.404,2023,2,83.1,4,coarse,utm_m,2023-10-07,10,0,,2026-09-01T17:19:41Z
2024,citywide_rgb,1,citywide,0.617,0.8239,0.7721,0.5043,2024,3,6.8,3,fine,web_mercator,2024-03-31 to 2024-05-31 (urban 3 in); the rural 9-in sub-project ran 2024-03-16 to 06-09,3,1,,2026-09-01T17:19:41Z
2024,fullext_sectors_v1,0,sector_v1,0.64,0.786,0.7517,0.5,2024,3,6.8,3,fine,web_mercator,2024-03-31 to 2024-05-31 (urban 3 in); the rural 9-in sub-project ran 2024-03-16 to 06-09,3,1,,2026-09-01T17:19:41Z
