point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
1219,nochange,4,stable_other,4,549233.0,5296063.0,0
122,nochange,1,cand_change,1,548209.0,5291847.0,0
1220,nochange,4,stable_other,4,545673.0,5295219.0,0
1221,nochange,4,stable_other,4,549315.0,5295985.0,0
1222,nochange,4,stable_other,4,550301.0,5291913.0,0
1223,nochange,4,stable_other,4,548963.0,5296703.0,0
1224,nochange,4,stable_other,4,548153.0,5295741.0,0
1225,nochange,4,stable_other,4,548949.0,5296079.0,0
1226,nochange,4,stable_other,4,547357.0,5293781.0,0
1227,nochange,4,stable_other,4,547383.0,5296309.0,0
1228,nochange,4,stable_other,4,548087.0,5295789.0,0
1229,nochange,4,stable_other,4,546943.0,5293707.0,0
123,nochange,1,cand_change,1,545927.0,5294951.0,0
1230,nochange,4,stable_other,4,546695.0,5291891.0,0
1231,nochange,4,stable_other,4,549715.0,5292331.0,0
1232,nochange,4,stable_other,4,546383.0,5296751.0,0
1233,nochange,4,stable_other,4,548073.0,5294883.0,0
1234,nochange,4,stable_other,4,549015.0,5295403.0,0
1235,nochange,4,stable_other,4,548069.0,5296191.0,0
1236,nochange,4,stable_other,4,549619.0,5293657.0,0
1237,nochange,4,stable_other,4,549607.0,5295815.0,0
1238,nochange,4,stable_other,4,547281.0,5297249.0,0
1239,nochange,4,stable_other,4,549967.0,5293169.0,0
124,nochange,1,cand_change,1,549929.0,5298573.0,0
1240,nochange,4,stable_other,4,547271.0,5295227.0,0
1241,nochange,4,stable_other,4,549785.0,5298297.0,0
1242,nochange,4,stable_other,4,548945.0,5292311.0,0
1243,nochange,4,stable_other,4,545809.0,5295077.0,0
1244,nochange,4,stable_other,4,546843.0,5293845.0,0
1245,nochange,4,stable_other,4,549565.0,5299523.0,0
1246,nochange,4,stable_other,4,547489.0,5295219.0,0
1248,nochange,4,stable_other,4,546541.0,5295885.0,0
1249,nochange,4,stable_other,4,548775.0,5297089.0,0
125,nochange,1,cand_change,1,548791.0,5295489.0,0
1250,nochange,4,stable_other,4,547617.0,5293451.0,0
126,nochange,1,cand_change,1,548643.0,5292245.0,0
