point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
166,4,both_canopy_other,2712,2911,548675.9999999999,5297689.799944401,-122.349591,47.8307136,0
167,4,both_canopy_other,3717,1464,546939.6,5296483.799943195,-122.372922,47.8199924,1
168,4,both_canopy_other,5672,934,546303.6,5294137.799940849,-122.3816686,47.7989317,0
169,4,both_canopy_other,3150,3081,548879.9999999999,5297164.199943875,-122.3469246,47.8259694,1
170,4,both_canopy_other,6057,349,545601.6,5293675.799940387,-122.391091,47.7948252,1
171,5,both_noncanopy,2772,4850,551002.7999999999,5297617.799944329,-122.318511,47.8298855,0
172,5,both_noncanopy,4021,1623,547130.3999999999,5296118.99994283,-122.3704129,47.8166964,0
173,5,both_noncanopy,6867,4381,550439.9999999999,5292703.7999394145,-122.3266022,47.7857193,0
174,5,both_noncanopy,5996,3740,549670.7999999999,5293748.99994046,-122.336751,47.7951827,0
175,5,both_noncanopy,5843,4849,551001.5999999999,5293932.599940644,-122.3189607,47.7967304,0
176,5,both_noncanopy,7191,637,545947.2,5292314.999939026,-122.3866206,47.7825575,0
177,5,both_noncanopy,5338,2103,547706.3999999999,5294538.59994125,-122.3628929,47.8024352,0
178,5,both_noncanopy,6139,2576,548273.9999999999,5293577.399940289,-122.3554202,47.793745,0
179,5,both_noncanopy,3258,4419,550485.5999999999,5297034.599943746,-122.3254892,47.8246794,0
180,5,both_noncanopy,7291,1288,546728.3999999999,5292194.999938906,-122.3762054,47.7814216,0
181,5,both_noncanopy,5605,1191,546612.0,5294218.199940929,-122.3775419,47.7996328,0
182,5,both_noncanopy,4370,1545,547036.7999999999,5295700.199942411,-122.3717086,47.8129354,0
183,5,both_noncanopy,4834,4268,550304.3999999999,5295143.399941854,-122.3281295,47.8076787,0
184,5,both_noncanopy,4534,4616,550721.9999999999,5295503.399942215,-122.3225102,47.8108848,0
185,5,both_noncanopy,5113,3803,549746.3999999999,5294808.599941519,-122.3356201,47.8047099,0
186,5,both_noncanopy,3264,1897,547459.2,5297027.399943738,-122.3659214,47.824845,0
187,5,both_noncanopy,6024,4377,550435.2,5293715.399940426,-122.3265487,47.7948209,0
188,5,both_noncanopy,4159,3548,549440.3999999999,5295953.399942664,-122.339576,47.8150332,0
189,5,both_noncanopy,5684,917,546283.2,5294123.399940834,-122.3819425,47.7988036,0
190,5,both_noncanopy,3584,4486,550565.9999999999,5296643.399943355,-122.3244607,47.8211535,0
191,5,both_noncanopy,3749,3216,549041.9999999999,5296445.399943156,-122.3448417,47.8194901,0
192,5,both_noncanopy,4283,4314,550359.5999999999,5295804.599942516,-122.3273155,47.8136231,0
193,5,both_noncanopy,7202,798,546140.3999999999,5292301.799939013,-122.384043,47.7824249,0
194,5,both_noncanopy,7425,4493,550574.3999999999,5292034.199938745,-122.324886,47.7796844,0
195,5,both_noncanopy,7359,1391,546851.9999999999,5292113.399938825,-122.3745643,47.7806785,0
196,5,both_noncanopy,3789,4563,550658.3999999999,5296397.399943109,-122.3232552,47.818933,0
197,5,both_noncanopy,7331,4468,550544.3999999999,5292146.999938858,-122.3252733,47.7807016,0
198,5,both_noncanopy,5729,1526,547013.9999999999,5294069.39994078,-122.37219,47.7982648,0
199,5,both_noncanopy,5698,221,545448.0,5294106.599940818,-122.3930967,47.7987119,0
200,5,both_noncanopy,7085,1841,547391.9999999999,5292442.199939153,-122.3673203,47.7835972,0
201,5,both_noncanopy,3785,4483,550562.3999999999,5296402.199943113,-122.324537,47.8189837,0
202,5,both_noncanopy,6368,3280,549118.7999999999,5293302.599940013,-122.3441718,47.7912088,0
203,5,both_noncanopy,6681,3120,548926.7999999999,5292926.999939638,-122.3467776,47.7878442,0
204,5,both_noncanopy,7517,1497,546979.2,5291923.799938635,-122.3728869,47.7789634,0
205,5,both_noncanopy,6505,3771,549707.9999999999,5293138.199939849,-122.3363243,47.7896845,0
