point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
1134,nochange,8,0,0,........,........,0,,,0,0,0,0
1135,nochange,5,0,0,C.C.....,CCC.....,1,2011s,HEAL,1,0,1,0
1136,nochange,8,0,0,........,........,0,,,0,0,0,0
1137,nochange,8,0,0,........,........,0,,,0,0,0,0
1138,nochange,8,0,0,........,........,0,,,0,0,0,0
1139,nochange,1,0,0,...C..C.,...C..C.,0,,,0,0,0,0
1140,nochange,2,0,0,...C.C..,...CxC..,1,2016,BLIND,1,0,0,1
1141,nochange,8,0,0,........,........,0,,,0,0,0,0
1142,nochange,0,0,0,....C.CC,....CxCC,1,2019,BLIND,1,0,0,1
1143,nochange,5,0,0,C.C.....,CCC.....,1,2011s,HEAL,1,0,1,0
1144,nochange,8,0,0,........,........,0,,,0,0,0,0
1145,nochange,6,0,0,.C......,.C......,0,,,0,0,0,0
1146,nochange,1,0,0,......C.,......C.,0,,,0,0,0,0
1147,nochange,8,0,0,........,........,0,,,0,0,0,0
1148,nochange,8,0,0,........,........,0,,,0,0,0,0
1149,nochange,0,0,0,C......C,C......C,0,,,0,0,0,0
115,nochange,8,0,0,........,........,0,,,0,0,0,0
1150,nochange,8,0,0,........,........,0,,,0,0,0,0
1151,nochange,8,0,0,........,........,0,,,0,0,0,0
1152,nochange,3,0,0,.C..C...,.C..C...,0,,,0,0,0,0
1153,nochange,8,0,0,........,........,0,,,0,0,0,0
1154,nochange,3,0,0,..C.C...,..CCC...,1,2015,HEAL,1,0,1,0
1155,nochange,0,0,0,CCCC..CC,CCCC..CC,0,,,0,0,0,0
1156,nochange,8,0,0,........,........,0,,,0,0,0,0
1157,nochange,8,0,0,........,........,0,,,0,0,0,0
1158,nochange,8,0,0,........,........,0,,,0,0,0,0
1159,nochange,3,0,0,.C..C...,.C..C...,0,,,0,0,0,0
116,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
