ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Laurance_1998_rain-forest-fragmentation-dynamics::b20,resolved,10.1016/s0378-1127(98)00291-6,via=crossref; ratio=1.00; year=1998,cr::10.1016/s0378-1127(98)00291-6,10.1016/s0378-1127(98)00291-6,6.940152093957971,0.991922374175134,True
Laurance_1998_rain-forest-fragmentation-dynamics::b21,resolved,10.1126/science.278.5340.1117,via=crossref; ratio=1.00; year=1997,cr::10.1126/science.278.5340.1117,10.1126/science.278.5340.1117,28.33213834248042,0.999999997040785,True
Laurance_1998_rain-forest-fragmentation-dynamics::b22,resolved,10.1016/0006-3207(91)90006-u,via=crossref; ratio=1.00; year=1991,cr::10.1016/0006-3207(91)90006-u,10.1016/0006-3207(91)90006-u,26.74717584175926,0.9999999911223552,True
Laurance_1998_rain-forest-fragmentation-dynamics::b23,resolved,10.2307/1941263,via=crossref; ratio=1.00; year=1988,cr::10.2307/1941263,10.2307/1941263,28.538589219947845,0.9999999974353471,True
Laurance_1998_rain-forest-fragmentation-dynamics::b24,unresolved,,"best=crossref:0.66:10.1016/j.foreco.2016.08.002; skipped=semanticscholar,arxiv (rate-limited)",cr::10.5962/bhl.title.70788,10.5962/bhl.title.70788,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b25,unresolved,,"best=crossref:0.78:10.1515/9781400831920.264; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1137/1112050,10.1137/1112050,-10.981176683640463,0.0004944491571191531,False
Laurance_1998_rain-forest-fragmentation-dynamics::b26,resolved,10.2307/1940897,via=crossref; ratio=1.00; year=1994,cr::10.2307/1940897,10.2307/1940897,29.069103936646627,0.999999998224471,True
Laurance_1998_rain-forest-fragmentation-dynamics::b27,resolved,10.2307/2261391,via=crossref; ratio=1.00; year=1994,cr::10.2307/2261391,10.2307/2261391,21.657192731540256,0.9999996976324127,True
Laurance_1998_rain-forest-fragmentation-dynamics::b28,resolved,10.2307/1941742,via=crossref; ratio=1.00; year=1994,cr::10.2307/1941742,10.2307/1941742,21.321409479581735,0.9999996183932649,True
Laurance_1998_rain-forest-fragmentation-dynamics::b29,unresolved,,"best=crossref:1.00:10.1126/science.263.5149.954; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1126/science.263.5149.954,10.1126/science.263.5149.954,13.800333487485753,0.9999299101340475,False
