file_id,block_id,byte_hex,prefix,suffix,status,resolved_ligature,all_hits
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0ad-7ed1-83c5-74d3aa69ff17,0x16,M,ij,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0b0-713d-a13d-a45ffc7b1164,0x6,i,i,unresolved,,
01a0a4d1-a86d-76af-befb-ee08bfe0b43b,01a0abc9-3401-70c6-9f25-63a9c07e6b08,0x5,j,jx,unresolved,,
01a0a4d1-a86d-76af-befb-ee08bfe0b43b,01a0abc9-3401-70c6-9f25-63a9c07e6b08,0x5,j,jx,unresolved,,
01a0a4d1-a86d-76af-befb-ee08bfe0b43b,01a0abc9-34cb-70bf-ada0-f1f1df3fe46e,0x5,R,g,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3d87-7225-80f1-e63253bb7bed,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3d8e-7fe1-b59d-65d556d47b26,0x1,P,TG,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3de2-71cb-80a4-86de01640b92,0x5,n,n,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e86-70b7-ba3c-d10780733770,0x1,P,T,resolved,fi,fi
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e86-7a8d-b564-b022b9777fe7,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e86-7a8d-b564-b022b9777fe7,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e86-7a8d-b564-b022b9777fe7,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e87-74ff-a09a-84e503c413a8,0x1,jP,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e87-74ff-a09a-84e503c413a8,0x1,jP,Tj,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e87-74ff-a09a-84e503c413a8,0x1,P,T,resolved,fi,fi
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e87-74ff-a09a-84e503c413a8,0x6,kIj,jPTj,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e8d-786e-921e-f25a0778d907,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e8d-786e-921e-f25a0778d907,0x1,P,THP,unresolved,,
01a0a4d1-b06e-7a22-925b-c6258e24afd9,01a0abc9-3e8e-72d5-9989-51e4d25a3e97,0x1,P,THP,unresolved,,
01a0a4d1-bf8a-7b22-8a8f-158ed6d6219c,01a0abca-f120-7a6b-a69a-adc6a6f7a254,0x1,Ord,o,unresolved,,
01a0a4d1-bf8a-7b22-8a8f-158ed6d6219c,01a0abca-f140-7b7c-a474-24d32f46c533,0x1,Ord,o,unresolved,,
01a0a4d1-bf8a-7b22-8a8f-158ed6d6219c,01a0abca-f141-7487-8251-d62966c97fcd,0x1,S,eguin,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d702-7040-9f75-e6a1c695e419,0x12,j,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d702-7be1-bf0d-9881d10663c7,0x12,j,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d702-7be1-bf0d-9881d10663c7,0x12,j,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d703-7ac1-9ab6-3cc72e23fc97,0x12,j,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d713-7e45-ba62-ca15f26f0ff4,0x7,nO,jjL,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d715-7dac-9ead-b1ce28cd5a81,0x7,nO,udHN,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d732-703e-9a93-ec6172e11c8a,0x5,e,tAu,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d794-756f-8b0d-cc350e263c6d,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d795-70e0-8196-baa7c8a585a7,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d79b-7378-ab0e-c95ed4395fb4,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d79b-7378-ab0e-c95ed4395fb4,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7a1-72a4-a0fb-21515337f284,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7a1-7f25-b7f2-5423b996be89,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7a1-7f25-b7f2-5423b996be89,0x5,e,tA,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7ea-72cb-8391-9512cbb79c47,0x5,N,a,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7ee-75de-9591-190f7bc80593,0x5,N,a,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7f3-7dd1-8b16-3820307dbc6d,0x5,N,a,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d7f5-7f10-a2ca-c53a30636f3f,0x5,N,a,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d8a5-7896-af47-f3b358b1818b,0x7,lC,hdH,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d8a6-75c1-ae4f-3633e8ffafc4,0x7,lC,hdH,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d8d5-7da7-9237-51efffd3bd44,0xf,ikg,f,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d8d6-76d8-9dfb-92b8a01aaac4,0xf,ikg,f,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d91f-7fcb-98c8-1de9967a8205,0x5,jDv,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d921-7f2c-9a52-7a1fe0ff0bc8,0x5,jDv,j,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d932-7e99-88c8-f821ddca61c1,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d933-7930-8b7e-522783d3df9c,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d936-7df0-8bf4-0be49af942ef,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d936-7df0-8bf4-0be49af942ef,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d93c-7382-a790-7e694f76fb16,0x5,jBij,jBi,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d940-735b-9a12-f87348ea1e6e,0x5,jBRj,jBrj,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d940-7ed4-9e8a-bd0bccf39e25,0x5,jBRj,jBrj,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d941-7a06-80e9-694b1b745c2b,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d942-7188-aa4a-ed0b82a7b4b9,0x5,jBRj,jBrj,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d944-70ef-8351-dc2139263928,0x5,R,r,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d946-7d47-abea-7945c628129a,0x5,jBRj,jBrj,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d947-7fe0-a03e-0b70925c26ff,0x5,jBRj,jBrj,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d94c-7939-ab11-be586986bab4,0x5,j,jB,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d94c-7939-ab11-be586986bab4,0x5,j,jB,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d94c-7939-ab11-be586986bab4,0x5,j,jB,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d94d-7c43-a466-89bc28b2898c,0x5,j,jB,unresolved,,
01a0a4d1-d717-7c62-a5cd-0148da298f94,01a0abc6-d94d-7c43-a466-89bc28b2898c,0x5,j,jB,unresolved,,
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-155a-7597-b7cc-e73b1c5d7dbb,0x1a,sup,Z,unresolved,,
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-155b-7a61-baaf-147c656cd87d,0x1a,sup,Z,unresolved,,
01a0a4d2-1dc0-735e-b2d9-ce8c948cd59c,01a0abc8-1593-752d-86f0-0f5e3e8153fa,0x1a,sup,Z,unresolved,,
