sha256,name,relpath,route,pages,ocr_pages,file_id,work_id,tei,docling,blocks,matched,disagreements,figures,tables,equations,latex_attached,latex_rows_for_file,latex_unmatched,coverage_by_page_type,coverage_min_share,coverage_failures,grobid_seconds,docling_seconds,reconcile_seconds,ingest_seconds,run_id,inserted,status,note
4485b37141a194f0f5abc13b10df719468ad47137d740ccc07a4c5858c4bfa68,Burnicki_2011_spatio-temporal-errors-land-cover.pdf,Validation/Burnicki_2011_spatio-temporal-errors-land-cover.pdf,native,27,0,01a0a4c6-caf9-703a-b95e-dd990c31a6d1,01a0a4c6-caf5-7764-ab3c-93d361a23adf,True,True,912,119,790,14,5,16,0,0,0,"{""text"": 1.0}",1.0,0,,,1.53,0.77,01a0aa24-624d-70e6-9580-550b7c0262f0,True,ok,
c171b553be42d43c863cf674db500495c7883b9930e5beec779548b8a47b61a9,Cabo_1995_line-transects-covariance-functions-set.pdf,Validation/Cabo_1995_line-transects-covariance-functions-set.pdf,cover-sheet,22,0,01a0a4d6-37ad-7130-9fc4-4fb853e63b9e,01a0a4d6-37a9-7c41-ba19-c87be1406452,True,True,491,10,459,2,0,116,64,64,0,"{""text"": 0.9999}",0.9991809991809992,0,,,0.73,0.44,01a0aa24-6837-7181-ac18-58081e0fe6d2,True,ok,
ff5b081d8046e47a4722cfe6583a74b7dfa4d7c17f8a47a3890ea99c9207f235,Cai_2014_enhancing-modis-land-cover-product.pdf,Validation/Cai_2014_enhancing-modis-land-cover-product.pdf,native,13,0,01a0a4d6-46cb-78a1-a264-78ebe48f3125,01a0a4d6-46c7-759c-9863-693195c5f9d4,True,True,319,76,223,12,6,13,5,5,0,"{""text"": 0.9984}",0.9815471965933286,0,,,1.23,0.44,01a0aa24-6ee4-7a26-9dd4-ea0f74894e38,True,ok,
08d2de5d9821fc139b377683583e3e1055878fa5940150a8f035071c4865504d,Camara_2024_bayesian-inference-post-processing.pdf,Validation/Camara_2024_bayesian-inference-post-processing.pdf,native,15,0,01a0a4be-8906-7f92-b7b5-0d3f6ba4affd,01a0a4be-8903-781d-88fa-7aaadc0b3243,True,True,244,80,144,11,3,15,4,4,0,"{""text"": 1.0}",1.0,0,,,0.89,0.24,01a0aa24-741c-7457-a51a-8b9bd87de3d9,True,ok,
3aa15cf77405efd5b10108e01bc3382d68963c759dbd60b1d13ea1d8ecd98b96,Caragea_2009_autologistic-models-interpretable.pdf,Validation/Caragea_2009_autologistic-models-interpretable.pdf,native,20,0,01a0a4d6-2740-7cb9-9e33-3ac5208b0ad8,01a0a4d6-273d-77e6-997b-36d6bc5f29c2,True,True,255,87,182,7,2,37,7,7,0,"{""text"": 1.0}",1.0,0,,,0.97,0.33,01a0aa24-78f5-7991-afa5-8c164ef2a18c,True,ok,
1afe80b4520a6a0d5bc511f8b0ee0c6a41fec499b52e74260c4f72f83248a847,Cardille_2016_bayesian-updating-land-cover.pdf,Validation/Cardille_2016_bayesian-updating-land-cover.pdf,mixed,16,3,01a0a4b8-2807-743c-bf9d-0cefc8076451,01a0a4b8-2803-7507-a594-6425b322c1d6,True,True,745,91,621,14,5,5,0,0,0,"{""partial"": 1.0, ""text"": 0.9988}",0.9832041343669251,0,,,1.73,0.67,01a0aa24-8114-7596-85c2-8d6303db1514,True,ok,
9840d10c43e2f95c2a43550ccee9ca0e68d230a00325a8fa21bb230d28fbd3b6,Chakraborty_2017_effect-misclassification-due.pdf,Validation/Chakraborty_2017_effect-misclassification-due.pdf,native,16,0,01a0a4c1-8f55-7912-b82e-a63277dfd55e,01a0a4c1-8f51-7a66-a670-6520e1ec3a73,True,True,392,41,300,1,15,27,24,24,0,"{""text"": 1.0}",1.0,0,,,0.75,0.47,01a0aa24-86ae-7b2b-895b-13b237553ccf,True,ok,
626d9be582d1ead1a22506cca7b206e48edce94c07fd478db825b80b5314b4d8,Chan_2005_aspects-total-variation-regularized-l.pdf,Validation/Chan_2005_aspects-total-variation-regularized-l.pdf,native,21,0,01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0a4c5-1bb4-7e24-8bec-0dab79b34097,True,True,607,193,474,7,0,82,54,54,0,"{""text"": 0.9998}",0.9994416527079844,0,,,1.5,0.55,01a0aa24-8e77-7df3-8f9f-9937172d4293,True,ok,
32f0d84058af51b7b10a0c8603f98d4cc50bd2367c3f88a0d2aaf329c0a62ce8,Charitos_2008_computing-short-interval-transition.pdf,Validation/Charitos_2008_computing-short-interval-transition.pdf,native,17,0,01a0a4d5-aa03-7349-a8dd-012a63d75886,01a0a4d5-a9ff-78e9-9901-dbad4504ae21,True,True,365,89,285,1,7,37,19,20,1,"{""text"": 1.0}",1.0,0,,,0.92,0.47,01a0aa24-9451-73c1-9edb-fd3c30a4bff5,True,ok,
f906bb7b2fb843a6312f797752f2ded2d391be417d546e993022e1dc2973c12f,Chaux_2008_nonlinear-stein-based-estimator.pdf,Validation/Chaux_2008_nonlinear-stein-based-estimator.pdf,native,30,0,01a0a4c3-1d76-701c-a3c5-d2181fc23f52,01a0a4c3-1d71-7945-a814-321c87de80fa,True,True,1007,189,835,6,7,92,55,55,0,"{""text"": 1.0}",1.0,0,,,1.62,1.01,01a0aa24-9c9f-7f1c-a8f6-2003e0ae6c00,True,ok,
